"freq
References : ['nf(2)']
Dependency : [freq]
Num. Points : [401]
Matrix Size : scalar
Type : Real","nf(2)
References : []
Dependency : [freq]
Num. Points : [401]
Matrix Size : scalar
Type : Real"
14.570000000000000 GHz,0.6224164355467858
14.574999999999999 GHz,0.6219475778258092
14.580000000000000 GHz,0.6214776340736279
14.585000000000001 GHz,0.6210066238180251
14.590000000000000 GHz,0.6205345666852564
14.595000000000001 GHz,0.6200614823992477
14.600000000000000 GHz,0.6195873907807925
14.605000000000000 GHz,0.6191123117467402
14.609999999999999 GHz,0.6186362653091531
14.615000000000000 GHz,0.6181592715744951
14.619999999999999 GHz,0.6176813507427615
14.625000000000000 GHz,0.6172025231066305
14.630000000000001 GHz,0.6167228090505982
14.635000000000000 GHz,0.6162422290500994
14.640000000000001 GHz,0.6157608036706129
14.645000000000000 GHz,0.6152785535667746
14.650000000000000 GHz,0.6147954994814661
14.654999999999999 GHz,0.6143116622448934
14.660000000000000 GHz,0.6138270627736639
14.664999999999999 GHz,0.6133417220698535
14.670000000000000 GHz,0.6128556612200530
14.675000000000001 GHz,0.6123689013944181
14.680000000000000 GHz,0.6118814638457005
14.685000000000000 GHz,0.6113933699082825
14.690000000000000 GHz,0.6109046409971809
14.695000000000000 GHz,0.6104152986070606
14.699999999999999 GHz,0.6099253643112403
14.705000000000000 GHz,0.6094348597606700
14.710000000000001 GHz,0.6089438066829184
14.715000000000000 GHz,0.6084522268811453
14.720000000000001 GHz,0.6079601422330599
14.725000000000000 GHz,0.6074675746898788
14.730000000000000 GHz,0.6069745462752814
14.734999999999999 GHz,0.6064810790843222
14.740000000000000 GHz,0.6059871952823903
14.744999999999999 GHz,0.6054929171041142
14.750000000000000 GHz,0.6049982668522796
14.755000000000001 GHz,0.6045032668967212
14.760000000000000 GHz,0.6040079396732505
14.765000000000001 GHz,0.6035123076825223
14.770000000000000 GHz,0.6030163934889130
14.775000000000000 GHz,0.6025202197194206
14.779999999999999 GHz,0.6020238090625026
14.785000000000000 GHz,0.6015271842669534
14.789999999999999 GHz,0.6010303681407592
14.795000000000000 GHz,0.6005333835499260
14.800000000000001 GHz,0.6000362534173443
14.805000000000000 GHz,0.5995390007215973
14.810000000000000 GHz,0.5990416484957982
14.815000000000000 GHz,0.5985442198264108
14.820000000000000 GHz,0.5980467378520513
14.824999999999999 GHz,0.5975492257623088
14.830000000000000 GHz,0.5970517067965241
14.835000000000001 GHz,0.5965542042426123
14.840000000000000 GHz,0.5960567414358230
14.845000000000001 GHz,0.5955593417575417
14.850000000000000 GHz,0.5950620286340511
14.855000000000000 GHz,0.5945648255353194
14.859999999999999 GHz,0.5940677559737456
14.865000000000000 GHz,0.5935708435029305
14.869999999999999 GHz,0.5930741117164393
14.875000000000000 GHz,0.5925775842465389
14.880000000000001 GHz,0.5920812847629385
14.885000000000000 GHz,0.5915852369715530
14.890000000000001 GHz,0.5910894646132141
14.895000000000000 GHz,0.5905939914624176
14.900000000000000 GHz,0.5900988413260423
14.904999999999999 GHz,0.5896040380420786
14.910000000000000 GHz,0.5891096054783410
14.914999999999999 GHz,0.5886155675311890
14.920000000000000 GHz,0.5881219481242373
14.925000000000001 GHz,0.5876287712070619
14.930000000000000 GHz,0.5871360607538983
14.935000000000000 GHz,0.5866438407623596
14.940000000000000 GHz,0.5861521352521244
14.945000000000000 GHz,0.5856609682636205
14.949999999999999 GHz,0.5851703638567425
14.955000000000000 GHz,0.5846803461095164
14.960000000000001 GHz,0.5841909391167954
14.965000000000000 GHz,0.5837021669889624
14.970000000000001 GHz,0.5832140538505850
14.975000000000000 GHz,0.5827266238390990
14.980000000000000 GHz,0.5822399011035129
14.984999999999999 GHz,0.5817539098030581
14.990000000000000 GHz,0.5812686741058659
14.994999999999999 GHz,0.5807842181876609
15.000000000000000 GHz,0.5803005662304104
15.005000000000001 GHz,0.5798177424210075
15.010000000000000 GHz,0.5793357709499434
15.015000000000001 GHz,0.5788546760099662
15.020000000000000 GHz,0.5783744817947531
15.025000000000000 GHz,0.5778952124975933
15.029999999999999 GHz,0.5774168923100338
15.035000000000000 GHz,0.5769395454205509
15.039999999999999 GHz,0.5764631960132400
15.045000000000000 GHz,0.5759878682664598
15.050000000000001 GHz,0.5755135863514922
15.055000000000000 GHz,0.5750403744312450
15.060000000000000 GHz,0.5745682566588960
15.065000000000000 GHz,0.5740972571765605
15.070000000000000 GHz,0.5736274001139756
15.074999999999999 GHz,0.5731587095871654
15.080000000000000 GHz,0.5726912096970991
15.085000000000001 GHz,0.5722249245284023
15.090000000000000 GHz,0.5717598781479934
15.095000000000001 GHz,0.5712960946037788
15.100000000000000 GHz,0.5708335979233335
15.105000000000000 GHz,0.5703724121125796
15.109999999999999 GHz,0.5699125611544593
15.115000000000000 GHz,0.5694540690076367
15.119999999999999 GHz,0.5689969596051795
15.125000000000000 GHz,0.5685412568532475
15.130000000000001 GHz,0.5680869846297777
15.135000000000000 GHz,0.5676341667832006
15.140000000000001 GHz,0.5671828271311239
15.145000000000000 GHz,0.5667329894590343
15.150000000000000 GHz,0.5662846775190118
15.154999999999999 GHz,0.5658379150284373
15.160000000000000 GHz,0.5653927256686934
15.164999999999999 GHz,0.5649491330839015
15.170000000000000 GHz,0.5645071608796224
15.175000000000001 GHz,0.5640668326215929
15.180000000000000 GHz,0.5636281718344506
15.185000000000000 GHz,0.5631912020004662
15.190000000000000 GHz,0.5627559465582875
15.195000000000000 GHz,0.5623224289016748
15.199999999999999 GHz,0.5618906723782475
15.205000000000000 GHz,0.5614607002882426
15.210000000000001 GHz,0.5610325358832671
15.215000000000000 GHz,0.5606062023650586
15.220000000000001 GHz,0.5601817228842639
15.225000000000000 GHz,0.5597591205392006
15.230000000000000 GHz,0.5593384183746409
15.234999999999999 GHz,0.5589196393805935
15.240000000000000 GHz,0.5585028064911008
15.244999999999999 GHz,0.5580879425830296
15.250000000000000 GHz,0.5576750704748789
15.255000000000001 GHz,0.5572642129255743
15.260000000000000 GHz,0.5568553926333141
15.265000000000001 GHz,0.5564486322343635
15.270000000000000 GHz,0.5560439543018938
15.275000000000000 GHz,0.5556413813448100
15.279999999999999 GHz,0.5552409358066196
15.285000000000000 GHz,0.5548426400642511
15.289999999999999 GHz,0.5544465164269231
15.295000000000000 GHz,0.5540525871350189
15.300000000000001 GHz,0.5536608743589416
15.305000000000000 GHz,0.5532714001980044
15.310000000000000 GHz,0.5528841866793140
15.315000000000000 GHz,0.5524992557566621
15.320000000000000 GHz,0.5521166293094378
15.324999999999999 GHz,0.5517363291415297
15.330000000000000 GHz,0.5513583769802468
15.335000000000001 GHz,0.5509827944752476
15.340000000000000 GHz,0.5506096031974733
15.345000000000001 GHz,0.5502388246380953
15.350000000000000 GHz,0.5498704802074639
15.355000000000000 GHz,0.5495045912340737
15.359999999999999 GHz,0.5491411789635205
15.365000000000000 GHz,0.5487802645575067
15.369999999999999 GHz,0.5484218690928014
15.375000000000000 GHz,0.5480660135602553
15.380000000000001 GHz,0.5477127188637931
15.385000000000000 GHz,0.5473620058194434
15.390000000000001 GHz,0.5470138951543544
15.395000000000000 GHz,0.5466684075058221
15.400000000000000 GHz,0.5463255634203527
15.404999999999999 GHz,0.5459853833526990
15.410000000000000 GHz,0.5456478876649277
15.414999999999999 GHz,0.5453130966254961
15.420000000000000 GHz,0.5449810304083297
15.425000000000001 GHz,0.5446517090919191
15.430000000000000 GHz,0.5443251526584174
15.435000000000000 GHz,0.5440013809927552
15.440000000000000 GHz,0.5436804138817684
15.445000000000000 GHz,0.5433622710133253
15.449999999999999 GHz,0.5430469719754681
15.455000000000000 GHz,0.5427345362555732
15.460000000000001 GHz,0.5424249832395118
15.465000000000000 GHz,0.5421183322108228
15.470000000000001 GHz,0.5418146023499008
15.475000000000000 GHz,0.5415138127331992
15.480000000000000 GHz,0.5412159823324150
15.484999999999999 GHz,0.5409211300137351
15.490000000000000 GHz,0.5406292745370388
15.494999999999999 GHz,0.5403404345551572
15.500000000000000 GHz,0.5400546286131039
15.505000000000001 GHz,0.5397718751473557
15.510000000000000 GHz,0.5394921924851113
15.515000000000001 GHz,0.5392155988435726
15.520000000000000 GHz,0.5389421123292600
15.525000000000000 GHz,0.5386717509372869
15.529999999999999 GHz,0.5384045325506993
15.535000000000000 GHz,0.5381404749397931
15.539999999999999 GHz,0.5378795957614607
15.545000000000000 GHz,0.5376219125585353
15.550000000000001 GHz,0.5373674427591478
15.555000000000000 GHz,0.5371162036761190
15.560000000000000 GHz,0.5368682125063231
15.565000000000000 GHz,0.5366234863300937
15.570000000000000 GHz,0.5363820421106368
15.574999999999999 GHz,0.5361438966934295
15.580000000000000 GHz,0.5359090668056786
15.585000000000001 GHz,0.5356775690557415
15.590000000000000 GHz,0.5354494199325853
15.595000000000001 GHz,0.5352246358052576
15.600000000000000 GHz,0.5350032329223517
15.605000000000000 GHz,0.5347852274115131
15.609999999999999 GHz,0.5345706352789171
15.615000000000000 GHz,0.5343594724087982
15.619999999999999 GHz,0.5341517545629669
15.625000000000000 GHz,0.5339474973803446
15.630000000000001 GHz,0.5337467163765041
15.635000000000000 GHz,0.5335494269432426
15.640000000000001 GHz,0.5333556443481370
15.645000000000000 GHz,0.5331653837341357
15.650000000000000 GHz,0.5329786601191424
15.654999999999999 GHz,0.5327954883956278
15.660000000000000 GHz,0.5326158833302421
15.664999999999999 GHz,0.5324398595634470
15.670000000000000 GHz,0.5322674316091541
15.675000000000001 GHz,0.5320986138543680
15.680000000000000 GHz,0.5319334205588632
15.685000000000000 GHz,0.5317718658548488
15.690000000000000 GHz,0.5316139637466576
15.695000000000000 GHz,0.5314597281104448
15.699999999999999 GHz,0.5313091726938852
15.705000000000000 GHz,0.5311623111159194
15.710000000000001 GHz,0.5310191568664568
15.715000000000000 GHz,0.5308797233061424
15.720000000000001 GHz,0.5307440236660935
15.725000000000000 GHz,0.5306120710476798
15.730000000000000 GHz,0.5304838784222935
15.734999999999999 GHz,0.5303594586311405
15.740000000000000 GHz,0.5302388243850367
15.744999999999999 GHz,0.5301219882642325
15.750000000000000 GHz,0.5300089627182176
15.755000000000001 GHz,0.5298997600655729
15.760000000000000 GHz,0.5297943924937987
15.765000000000001 GHz,0.5296928720591810
15.770000000000000 GHz,0.5295952106866613
15.775000000000000 GHz,0.5295014201697079
15.779999999999999 GHz,0.5294115121702133
15.785000000000000 GHz,0.5293254982183759
15.789999999999999 GHz,0.5292433897126479
15.795000000000000 GHz,0.5291651979196162
15.800000000000001 GHz,0.5290909339739615
15.805000000000000 GHz,0.5290206088783983
15.810000000000000 GHz,0.5289542335036205
15.815000000000000 GHz,0.5288918185882746
15.820000000000000 GHz,0.5288333747389314
15.824999999999999 GHz,0.5287789124300822
15.830000000000000 GHz,0.5287284420041155
15.835000000000001 GHz,0.5286819736713464
15.840000000000000 GHz,0.5286395175100215
15.845000000000001 GHz,0.5286010834663477
15.850000000000000 GHz,0.5285666813545344
15.855000000000000 GHz,0.5285363208568418
15.859999999999999 GHz,0.5285100115236359
15.865000000000000 GHz,0.5284877627734609
15.869999999999999 GHz,0.5284695838931158
15.875000000000000 GHz,0.5284554840377401
15.880000000000001 GHz,0.5284454722309218
15.885000000000000 GHz,0.5284395573647972
15.890000000000001 GHz,0.5284377482001723
15.895000000000000 GHz,0.5284400533666446
15.900000000000000 GHz,0.5284464813627540
15.904999999999999 GHz,0.5284570405561140
15.910000000000000 GHz,0.5284717391835786
15.914999999999999 GHz,0.5284905853514045
15.920000000000000 GHz,0.5285135870354224
15.925000000000001 GHz,0.5285407520812319
15.930000000000000 GHz,0.5285720882043761
15.935000000000000 GHz,0.5286076029905700
15.940000000000000 GHz,0.5286473038958893
15.945000000000000 GHz,0.5286911982469972
15.949999999999999 GHz,0.5287392932413773
15.955000000000000 GHz,0.5287915959475724
15.960000000000001 GHz,0.5288481133054277
15.965000000000000 GHz,0.5289088521263368
15.970000000000001 GHz,0.5289738190935299
15.975000000000000 GHz,0.5290430207623180
15.980000000000000 GHz,0.5291164635603969
15.984999999999999 GHz,0.5291941537881126
15.990000000000000 GHz,0.5292760976187861
15.994999999999999 GHz,0.5293623010989880
16.000000000000000 GHz,0.5294527701488778
